2026-07-13 12:20:15.295 | SUCCESS  | __main__:main:126 - _meta.npz written: n=3500
2026-07-13 12:20:15.311 | INFO     | __main__:record:116 - tag=e16b_granite_ls_depth11 | decision=drop_lowf1 | self_f1=0.0451 | serialize=cache | source=e26_screen_logits.npz
2026-07-13 12:20:15.385 | INFO     | __main__:record:116 - tag=e22_pvi06_champion | decision=ok | self_f1=0.7697 | clean=True | serialize=cache | source=e26_screen_logits.npz
2026-07-13 12:20:15.454 | INFO     | __main__:record:116 - tag=e25c_richmeta_ls_bf16 | decision=ok | self_f1=0.7792 | clean=True | serialize=cache | source=e26_screen_logits.npz
2026-07-13 12:20:15.544 | INFO     | __main__:record:116 - tag=e9_granite_ce | decision=ok | self_f1=0.7343 | clean=True | serialize=cache | source=e26_screen_logits.npz
2026-07-13 12:20:15.636 | INFO     | __main__:record:116 - tag=e9_granite_ls | decision=ok | self_f1=0.7493 | clean=True | serialize=cache | source=e26_screen_logits.npz
2026-07-13 12:20:15.726 | INFO     | __main__:record:116 - tag=estack_v2_tapt_richargs_ls | decision=ok | self_f1=0.7771 | clean=True | serialize=cache | source=e26_screen_logits.npz
2026-07-13 12:20:15.817 | INFO     | __main__:record:116 - tag=e12soup_granite_ls_is2 | decision=ok | self_f1=0.769 | clean=True | serialize=cache | source=e26_screen_logits.npz
2026-07-13 12:20:15.826 | INFO     | __main__:record:116 - tag=e16b_granite_ls_depth14_v2 | decision=drop_lowf1 | self_f1=0.1846 | serialize=cache | source=e26_screen_logits.npz
2026-07-13 12:20:15.908 | INFO     | __main__:record:116 - tag=e25a_miseo_repro | decision=ok | self_f1=0.7692 | clean=True | serialize=cache | source=e26_screen_logits.npz
2026-07-13 12:20:15.998 | INFO     | __main__:record:116 - tag=e8a_granite_richargs_full | decision=ok | self_f1=0.769 | clean=True | serialize=cache | source=e26_screen_logits.npz
2026-07-13 12:20:16.089 | INFO     | __main__:record:116 - tag=e9_granite_focal | decision=ok | self_f1=0.7304 | clean=True | serialize=cache | source=e26_screen_logits.npz
2026-07-13 12:20:16.158 | INFO     | __main__:record:116 - tag=e9_granite_wce | decision=ok | self_f1=0.7429 | clean=True | serialize=cache | source=e26_screen_logits.npz
2026-07-13 12:20:16.227 | INFO     | __main__:record:116 - tag=granite_names_ls_full | decision=ok | self_f1=0.773 | clean=True | serialize=cache | source=e26_screen_logits.npz
2026-07-13 12:20:16.295 | INFO     | __main__:record:116 - tag=e8b_qwen3_richargs_full | decision=ok | self_f1=0.7643 | clean=True | serialize=cache | source=e26_screen_logits.npz
2026-07-13 12:20:16.363 | INFO     | __main__:record:116 - tag=coreset_rt_aum06 | decision=ok | self_f1=0.7487 | clean=True | serialize=cache | source=e26_screen_logits.npz
2026-07-13 12:20:16.431 | INFO     | __main__:record:116 - tag=coreset_rt_cart15 | decision=ok | self_f1=0.7397 | clean=True | serialize=cache | source=e26_screen_logits.npz
2026-07-13 12:20:16.500 | INFO     | __main__:record:116 - tag=coreset_rt_el2n15 | decision=ok | self_f1=0.7346 | clean=True | serialize=cache | source=e26_screen_logits.npz
2026-07-13 12:20:16.568 | INFO     | __main__:record:116 - tag=coreset_rt_pvi15 | decision=ok | self_f1=0.7498 | clean=True | serialize=cache | source=e26_screen_logits.npz
2026-07-13 12:20:16.638 | INFO     | __main__:record:116 - tag=e12soup_granite_ls_is3 | decision=ok | self_f1=0.7786 | clean=True | serialize=cache | source=e26_screen_logits.npz
2026-07-13 12:20:16.706 | INFO     | __main__:record:116 - tag=e22_aum06_champion | decision=ok | self_f1=0.7763 | clean=True | serialize=cache | source=e26_screen_logits.npz
2026-07-13 12:20:16.774 | INFO     | __main__:record:116 - tag=e25b_miseo_ls_bf16 | decision=ok | self_f1=0.7735 | clean=True | serialize=cache | source=e26_screen_logits.npz
2026-07-13 12:20:16.842 | INFO     | __main__:record:116 - tag=e8a_ls_richargs_full | decision=ok | self_f1=0.7801 | clean=True | serialize=cache | source=e26_screen_logits.npz
2026-07-13 12:20:16.933 | INFO     | __main__:record:116 - tag=e9_granite_la | decision=ok | self_f1=0.7387 | clean=True | serialize=cache | source=e26_screen_logits.npz
2026-07-13 12:20:17.024 | INFO     | __main__:record:116 - tag=e_stack_tapt_ls_richargs_full | decision=ok | self_f1=0.7727 | clean=True | serialize=cache | source=e26_screen_logits.npz
2026-07-13 12:20:17.093 | INFO     | __main__:record:116 - tag=e16_qwen3_depth14_recover | decision=ok | self_f1=0.7629 | clean=True | serialize=cache | source=e26_screen_logits.npz
2026-07-13 12:20:17.161 | INFO     | __main__:record:116 - tag=e8b_ls_qwen3_richargs_full | decision=ok | self_f1=0.7657 | clean=True | serialize=cache | source=e26_screen_logits.npz
